SourceYear,SchoolYear,Region,School_Short_Name,addresses,City,State,Zip ,County,Latitude,Longitude,JoinType,DriveTime_min,PercentToFullScale,PercentEntryLevelNeeded_AC,PercentEntryLevelNeeded_CP,PercentPoverty1x,PercentPoverty2x,PercentWin10min,PercentWin15min,Avg DriveTime,Median Drivetime,SD of Drivetime,SurroundingShoolsQuality
,,Permian Basin,Bush Center,5800 Briarwood Ave,Midland,Texas,79707,Midland County,32.0243451,-102.1720807,inside,10,0.162,0.135,0.083,1.835,0.82,,,,,,
,,Permian Basin,IDEA Fairfield,1400 N Tilden St.,Midland,Texas,79701,Midland County,32.0191279,-102.0633532,intersect,15,0.048,0.03,0.016,0.247,0.119,,,,,,
,,Permian Basin,IDEA Fairfield,1400 N Tilden St.,Midland,Texas,79701,Midland County,32.0191279,-102.0633532,intersect,10,0.084,0.043,0.021,0.303,0.154,,,,,,
,,Permian Basin,IDEA Fairfield,1400 N Tilden St.,Midland,Texas,79701,Midland County,32.0191279,-102.0633532,inside,15,0.068,0.048,0.025,0.376,0.156,,,,,,
,,Permian Basin,IDEA Fairfield,1400 N Tilden St.,Midland,Texas,79701,Midland County,32.0191279,-102.0633532,inside,10,0.191,0.137,0.071,0.713,0.321,,,,,,
,,Permian Basin,Travis,900 E Gist Ave,Midland,Texas,79701,Midland County,31.98069977,-102.0632629,intersect,15,0.05,0.029,0.016,0.246,0.119,0.71,0.91,9.12,8.52,5.45,
,,Permian Basin,Travis,900 E Gist Ave,Midland,Texas,79701,Midland County,31.98069977,-102.0632629,intersect,10,0.096,0.046,0.023,0.292,0.154,0.71,0.91,9.12,8.52,5.45,
,,Permian Basin,Travis,900 E Gist Ave,Midland,Texas,79701,Midland County,31.98069977,-102.0632629,inside,15,0.086,0.062,0.03,0.451,0.181,0.71,0.91,9.12,8.52,5.45,
,,Permian Basin,Travis,900 E Gist Ave,Midland,Texas,79701,Midland County,31.98069977,-102.0632629,inside,10,0.235,0.172,0.122,0.673,0.312,0.71,0.91,9.12,8.52,5.45,
,,Permian Basin,Yukon,7300 E Yukon Rd,Odessa,Texas,79765,Ector County,31.9407915,-102.2993042,intersect,15,0.076,0.04,0.022,0.361,0.166,0.36,0.71,12.06,11.82,7.09,
,,Permian Basin,Yukon,7300 E Yukon Rd,Odessa,Texas,79765,Ector County,31.9407915,-102.2993042,intersect,10,0.187,0.071,0.044,0.627,0.37,0.36,0.71,12.06,11.82,7.09,
,,Permian Basin,Yukon,7300 E Yukon Rd,Odessa,Texas,79765,Ector County,31.9407915,-102.2993042,inside,15,0.13,0.1,0.052,0.489,0.279,0.36,0.71,12.06,11.82,7.09,
,,Permian Basin,Yukon,7300 E Yukon Rd,Odessa,Texas,79765,Ector County,31.9407915,-102.2993042,inside,10,4.061,,,,,0.36,0.71,12.06,11.82,7.09,
,,Permian Basin,Zeneta,3401 W. 5th Street ,Odessa,Texas,79763,Ector County,31.8339134,-102.4054584,intersect,15,0.047,0.03,0.014,0.187,0.083,,,,,,
,,Permian Basin,Zeneta,3401 W. 5th Street ,Odessa,Texas,79763,Ector County,31.8339134,-102.4054584,intersect,10,0.08,0.045,0.021,0.317,0.124,,,,,,
,,Permian Basin,Zeneta,3401 W. 5th Street ,Odessa,Texas,79763,Ector County,31.8339134,-102.4054584,inside,15,0.076,0.061,0.024,0.308,0.138,,,,,,
